date, pm25, pm10, o3, no2, co
2022/11/25, 159, 100, 26, 34, 7
2022/11/26, 171, 95, 33, 34, 6
2022/11/27, 165, 70, 30, 33, 5
2022/11/28, 142, 68, 28, 32, 3
2022/11/29, 139, 91, 30, 34, 7
2022/11/30, 165, 86, 35, 33, 4
2022/12/1, 160, 92, 27, 33, 7
2022/12/2, 162, 84, 27, 31, 4
2022/12/3, 158, 93, 30, 31, 6
2022/12/4, 162, 94, 9, 30, 8
2022/12/5, 167, 100, , 32, 9
2022/12/6, 171, 97, 26, 31, 9
2022/12/7, 169, 92, 18, 35, 8
2022/12/8, 164, 69, 25, 33, 3
2022/12/9, 134, 68, 28, 36, 3
2022/12/10, 135, 76, 26, 33, 5
2022/12/11, 150, 79, 13, 33, 4
2022/12/12, 138, , , , 
2022/12/15, 75, 45, 18, 6, 3
2022/12/16, 90, 33, 18, 9, 3
2022/12/17, 69, 38, 27, 11, 3
2022/12/18, 73, 27, 33, 11, 2
2022/12/19, 60, 43, 48, 12, 4
