date, pm25, pm10, o3, no2, so2, co
2023/10/10, 146, 85, 20, 9, 3, 52
2023/10/11, 137, 105, 34, 15, 4, 25
2023/10/12, 149, 130, 63, 8, 5, 39
2023/10/13, 170, 133, 53, 9, 4, 42
2023/10/14, 170, 118, 48, 6, 3, 37
2023/10/15, 162, 133, 52, 7, 3, 38
2023/10/16, 169, 130, 52, 8, 3, 40
2023/10/17, 168, 135, 49, 7, 3, 34
2023/10/18, 170, 126, 44, 9, 5, 31
2023/10/19, 165, 138, 63, 7, 4, 22
2023/10/20, 172, 108, 39, 7, 5, 13
2023/10/21, 152, 143, 54, 6, 4, 2
2023/10/22, 179, 142, 57, 5, 4, 2
2023/10/23, 178, 156, 57, 7, 4, 4
2023/10/24, 186, 154, 3, 7, 3, 6
2023/10/25, 185, , , , , 
2023/10/27, 154, 127, 2, 7, , 17
2023/10/28, 172, , , , , 
2023/10/31, 151, 76, 49, 7, 5, 14
2023/11/1, 151, 94, 50, 6, 4, 10
2023/11/2, 158, 129, 44, 7, 5, 11
2023/11/3, 182, 130, 41, 9, 7, 14
2023/11/4, 184, 134, 43, 10, 4, 15
2023/11/5, 185, 137, 45, 6, 4, 14
2023/11/6, 187, 110, 37, 6, 5, 10
2023/11/7, 164, 76, 25, 6, 4, 11
2023/11/8, 138, 67, 37, 5, 3, 11
2023/11/9, 132, 50, 34, 4, 3, 10
2023/11/10, 97, 64, , 5, 2, 11
2023/11/11, 126, , , , , 
2023/11/19, 158, 83, 3, 7, 1, 14
2023/11/20, 151, , , , , 
2023/11/22, 158, 104, , 2, , 12
2023/11/23, 168, 123, , 2, 1, 13
2023/11/24, 178, 66, 18, 2, 6, 11
2023/11/25, 131, , , , , 
2023/11/27, 67, 64, 21, 8, 5, 4
2023/11/28, 121, 81, 18, 8, 3, 4
2023/11/29, 153, 80, 21, 6, 9, 4
2023/11/30, 153, 87, 25, 8, 11, 4
2023/12/1, 158, , , , , 
2023/12/4, 164, 96, 15, 6, 2, 11
2023/12/5, 163, 99, 30, 7, 8, 10
2023/12/6, 165, 88, 18, 7, 2, 9
2023/12/7, 158, , , , , 
2023/12/9, 160, 93, 21, 2, 3, 11
2023/12/10, 160, 95, 10, 12, 10, 14
2023/12/11, 162, , , , , 
2023/12/14, 161, 121, 1, 19, 7, 13
2023/12/15, 177, 104, 21, 22, 7, 13
2023/12/16, 167, 104, 36, 13, 7, 12
2023/12/17, 167, 94, 22, 11, 3, 11
2023/12/18, 162, 97, 17, 2, 2, 10
2023/12/19, 164, 99, 18, 9, 2, 12
2023/12/20, 165, 125, 24, 15, 8, 13
2023/12/21, 180, 140, 8, 3, 6, 19
2023/12/22, 188, , , , , 
2023/7/1, 74, 29, 4, 12, 11, 1
2023/7/2, 68, 28, 6, 17, 11, 3
2023/7/3, 66, 24, 4, 30, 7, 4
2023/7/4, 59, 35, 8, 9, 6, 3
2023/7/5, 77, 24, 8, 8, 6, 3
2023/7/6, 58, 22, 6, 7, 7, 4
2023/7/7, 53, 46, 6, 7, 5, 3
2023/7/8, 99, 43, 6, 7, 7, 3
2023/7/9, 90, 47, 7, 7, 5, 3
2023/7/10, 97, 52, 7, 7, 5, 3
2023/7/11, 109, 55, 5, 5, 4, 4
2023/7/12, 118, 6, , 1, 7, 3
2023/7/13, 18, 16, 3, 1, 6, 3
2023/7/14, 45, 48, 4, 1, 6, 4
2023/7/15, 103, 42, 5, 1, 5, 3
2023/7/16, 88, 27, 2, 1, 4, 3
2023/7/17, 65, 31, 4, 1, 4, 4
2023/7/18, 73, 40, 5, 1, 6, 4
2023/7/19, 91, 52, 4, 1, 4, 4
2023/7/20, 118, 33, 4, 2, 5, 1
2023/7/21, 78, , , , , 
2023/7/24, 44, 41, 2, 1, 6, 3
2023/7/25, 88, 26, 1, 1, 5, 4
2023/7/26, 63, 29, 3, 2, 7, 5
2023/7/27, 72, 35, 2, 2, 5, 6
2023/7/28, 79, , , , , 
2023/8/1, 91, 46, 7, 4, 4, 12
2023/8/2, 96, 50, 6, 4, 3, 13
2023/8/3, 104, 46, 6, 4, 3, 13
2023/8/4, 95, 49, 7, 4, 3, 13
2023/8/5, 105, 51, 9, 3, 2, 13
2023/8/6, 108, 50, 7, 3, 4, 13
2023/8/7, 103, 50, 7, 2, 3, 10
2023/8/8, 107, 51, 6, 2, 3, 10
2023/8/9, 109, 47, 7, 2, 3, 7
2023/8/10, 102, 46, 7, 2, 5, 8
2023/8/11, 98, 47, 6, 2, 3, 6
2023/8/12, 100, 46, 8, 2, 2, 8
2023/8/13, 96, 46, 5, 2, 4, 6
2023/8/14, 99, 39, 5, 2, 6, 9
2023/8/15, 84, 40, 6, 2, 2, 7
2023/8/16, 85, 38, 6, 3, 2, 8
2023/8/17, 82, 33, 5, 2, 3, 8
2023/8/18, 74, 40, 5, 2, 4, 6
2023/8/19, 85, , , , , 
2023/8/21, 96, 32, 3, 2, 1, 11
2023/8/22, 72, 31, 4, 2, 2, 12
2023/8/23, 70, 29, 3, 2, 3, 19
2023/8/24, 67, 32, 5, 2, 3, 21
2023/8/25, 70, 24, 4, 2, 3, 23
2023/8/26, 57, 24, 5, 2, 2, 20
2023/8/27, 57, 35, 4, 2, 2, 23
2023/8/28, 79, 53, 10, 2, 3, 14
2023/8/29, 111, 60, 13, 3, 2, 12
2023/8/30, 130, 67, 15, 3, 2, 13
2023/8/31, 144, 65, 16, 3, 2, 11
2023/9/1, 142, 54, 7, 3, 3, 14
2023/9/2, 117, 56, 3, 8, 3, 15
2023/9/3, 121, 64, 11, 6, 4, 16
2023/9/4, 136, 70, 11, 2, 3, 10
2023/9/5, 146, 61, 4, 3, 2, 10
2023/9/6, 130, 43, 3, 4, 3, 9
2023/9/7, 94, 41, 3, 1, 2, 5
2023/9/8, 91, 48, 5, 1, 2, 5
2023/9/9, 101, 38, 8, , 2, 5
2023/9/10, 84, 42, 9, 4, 2, 5
2023/9/11, 88, 46, 9, 2, 2, 4
2023/9/12, 96, 45, 11, 4, 3, 5
2023/9/13, 92, , , , , 
2023/9/15, 96, 39, 5, 9, 4, 8
2023/9/16, 83, 39, 7, 8, 3, 8
2023/9/17, 83, 41, 6, 7, 4, 7
2023/9/18, 84, 32, 6, 8, 4, 8
2023/9/19, 72, 30, 4, 7, 4, 8
2023/9/20, 67, 25, 10, 5, 3, 9
2023/9/21, 57, 29, 2, 3, 2, 8
2023/9/22, 65, 38, 4, 10, 3, 9
2023/9/23, 81, 43, 6, 10, 2, 10
2023/9/24, 93, 56, 3, 9, 6, 9
2023/9/25, 100, 56, 1, 10, , 9
2023/9/26, 121, , , , , 
2023/4/3, 151, 73, 15, 8, 12, 5
2023/4/4, 153, 76, 17, 8, 12, 8
2023/4/5, 154, 95, 28, 8, 12, 6
2023/4/6, 169, 112, 30, 6, 15, 4
2023/4/7, 181, , , , , 
2023/4/24, 155, 76, 22, 2, 12, 2
2023/4/25, 153, 67, 15, 2, 13, 8
2023/4/26, 140, 70, 11, 2, 11, 12
2023/4/27, 141, 64, 24, 2, 11, 5
2023/4/28, 136, 64, 22, 2, 12, 6
2023/4/29, 137, 60, 15, 2, 12, 6
2023/4/30, 125, 56, 27, 2, 12, 6
2023/5/1, 120, 60, 21, 2, 10, 5
2023/5/2, 131, 65, 15, 2, 12, 
2023/5/3, 142, 65, 24, 2, 13, 
